username,name,bio,category,score,matching_tweet,tweet_url,followers,website,reason,last_tweet_at
krowncryptocave,Krown,"Former NYSE Arca market maker. Daily Bitcoin & macro analysis. 15+ yrs in the game → now I trade BTC, equities & gold.",Builder/developer,95,"AI agents is undoubtedly where all of trading will go in the next couple years. 

people will still trade manually, but similar to self driving cars they will only do it for the love of the game, not because its more efficient.

the tutorial attached shows exactly how to set up",https://x.com/KrownCryptoCave/status/2092276625530577032,109930,https://krown-trading.teachable.com/p/krown-s-ta-101,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; bio signals founder/builder role; score is deterministic and requires human review before outreach.,2026-09-02T01:13:00.000Z
cryptopatel,Crypto Patel,"SMC & ICT Technical Analyst
On-Chain Insights & Crypto Research
Probabilities over Predictions
Signal over Noise

Featured: @CoinMarketCap, @Binance",Review,65,"Crypto Post-Mortem #6: How BitConnect Became One Of The Biggest Crypto Frauds In History

Before Terra.
Before FTX.
Before Celsius.

There Was BitConnect.

It Promised Financial Freedom.
Passive Income.
And Guaranteed Daily Profits.

For A While...
It Worked.
Until It Didn't.",https://x.com/CryptoPatel/status/2085025539350540387,67534,https://linktr.ee/cryptopatel,posted relevant AI/trading evidence; bio signals AI/agent relevance; bio signals trading/finance relevance; score is deterministic and requires human review before outreach.,2026-09-02T11:30:00.000Z
neil_xbt,NeilXbt,"Vibe Coder | AI x Crypto Insights | In Crypto Since '17 | NFA
https://t.co/sfAosvj7Bx",Trader/quant,55,"The disclosure most ""quantum trading"" content skips entirely:

""You do not need a physical quantum computer for any of this, and most of what follows is not literally quantum.""

Here's the actual six-module agent loop:

→ perception: ingest order book, OHLCV, funding rates,",https://x.com/neil_xbt/status/2080144372486807577,16432,https://linktr.ee/neilxbt,posted relevant AI/trading evidence; bio signals AI/agent relevance; bio signals trading/finance relevance; score is deterministic and requires human review before outreach.,2026-09-02T10:13:00.000Z
reduansheikh11,R E D U A N,Navigating Web3 & Crypto  | Discovering Next-Gen Projects & Alpha Trends 🌐 |  DM  for Promo/Collab📩,Review,55,"The biggest enemy in crypto trading isn't market volatility. It’s human emotion.

We sell when we are scared. 
We buy top when FOMO hits. 
We over-leverage because of greed.

This is where AI agents change the game. 

An AI doesn't panic. It doesn't get greedy. It just executes",https://x.com/reduansheikh11/status/2094788880218390549,5525,,posted relevant AI/trading evidence; bio signals trading/finance relevance; recent timeline contains trading signals; score is deterministic and requires human review before outreach.,2026-09-01T03:26:38.000Z
0x_beni_,,,Builder/developer,50,"Build an autonomous AI trading agent Win from a $6,300 pool

@AlpacaHQ Trading Agents Hackathon : 7 days to build an autonomous options trading agent using Alpaca's Trading API, MCP server and CLI. 

All building and testing happens in Alpaca's paper trading environment no real",https://x.com/0x_beni_/status/2095107468556669391,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
0x_zeeme,,,Builder/developer,50,"The $BASE ecosystem is not slowing down. 

Virtuals Protocol just launched an AI broker 
called Monvera. Today. 

What it does:

→ Trade 95 tokenized real stocks
→ Single click. AI-powered.
→ Zero gas fees
→ Built on the $BASE ecosystem

Let that sink in.

Your AI agent",https://x.com/0x_zeeme/status/2077068102144008439,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
aelixagent,,,Builder/developer,50,"Most ""AI trading agents"" keep their safety in a prompt. A prompt can be argued with. Aelix puts it in the structure the analysts hold no order tools at all, and nothing executes without your explicit yes. Here's how it's built.",https://x.com/aelixagent/status/2081108390248431912,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
agentarcade,,,Builder/developer,50,"Agent Arcade is building a new way to trade.

With Agent Builder, you can talk or text with leading frontier AI models and turn your market thesis into an automated trading strategy.

No code required.

Have alpha on any market?

Tell AI what you see.",https://x.com/AgentArcade/status/2087954420369682862,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
ajah_elube,,,Builder/developer,50,"moss corner 

let's look at what happened this week at @MossAI_Official

> moss launched its first governance agent with @RaveDAO

this one caught my attention because moss is going beyond just trading agents

you can mint $RAVE into vRAVE agent shares, earn 6% apy in $RAVE, and",https://x.com/ajah_elube/status/2093577210900644057,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
alpacahq,,,Builder/developer,50,"New in the Alpaca Skills Library: the Paper Trading Skill 

We just released our second open-source agent skill, built to help AI assistants preview, submit, inspect, and manage paper-trading orders across US equities, US options, and crypto.",https://x.com/AlpacaHQ/status/2092613041997394195,,,posted relevant AI/trading evidence; mentions building or shipping an agent/trader; score is deterministic and requires human review before outreach.,
